SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,12 Gertrude Ct,East Palo Alto,CA,94303,1199000,3,2.0,EAST PALO ALTO,1120,9700,1956,12,1071,,Active,April-8-2023 01:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/East-Palo-Alto/12-Gertrude-Ct-94303/home/1316088,MLSListings,ML81922756,N,Y,37.4748215,-122.1440679
MLS Listing,,Vacant Land,103 CASTLEWOOD,Pleasanton,CA,94566,725000,,,Castlewood,,36288,,1,,6,Active,,,https://www.redfin.com/CA/Pleasanton/103-Castlewood-Dr-94566/home/143115847,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41023625,N,Y,37.630965,-121.899779
MLS Listing,,Single Family Residential,8 Aliso Way,Portola Valley,CA,94028,3150000,4,3.0,PORTOLA VALLEY,2610,9520,1949,1,1207,,Active,April-8-2023 02:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Portola-Valley/8-Aliso-Way-94028/home/905236,MLSListings,ML81923962,N,Y,37.403701,-122.193084
MLS Listing,,Single Family Residential,358 El Camino Real,Atherton,CA,94027,3700000,4,4.0,ATHERTON,2630,13500,1922,1,1407,,Active,,,https://www.redfin.com/CA/Atherton/358-El-Camino-Real-94027/home/1718733,MLSListings,ML81922702,N,Y,37.4634068,-122.2037147
MLS Listing,,Single Family Residential,1472 Lewiston Dr,Sunnyvale,CA,94087,2498000,4,2.0,SUNNYVALE,1469,8724,1959,1,1700,,Active,April-8-2023 01:00 PM,April-8-2023 04:30 PM,https://www.redfin.com/CA/Sunnyvale/1472-Lewiston-Dr-94087/home/972223,MLSListings,ML81923928,N,Y,37.3458798,-122.04519
MLS Listing,,Townhouse,300 Baltic Cir #330,Redwood City,CA,94065,1250000,2,3.0,REDWOOD CITY,1424,242714,1997,1,878,673,Active,April-9-2023 02:00 PM,April-9-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/300-Baltic-Cir-94065/unit-330/home/994664,MLSListings,ML81923914,N,Y,37.539633,-122.2416585
MLS Listing,,Townhouse,165 Okeefe St #27,Menlo Park,CA,94025,770000,2,1.5,MENLO PARK,1182,43151,1983,2,651,670,Active,April-8-2023 02:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/165-Okeefe-St-94025/unit-27/home/992317,MLSListings,ML81923859,N,Y,37.4628194,-122.1505442
MLS Listing,,Single Family Residential,1435 W Selby Ln,Redwood City,CA,94061,2948000,4,3.0,REDWOOD CITY,2550,8816,1979,2,1156,,Active,April-8-2023 02:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/1435-W-Selby-Ln-94061/home/1389778,MLSListings,ML81923645,N,Y,37.4533974,-122.2224667
MLS Listing,,Single Family Residential,710 Patrol Rd,Woodside,CA,94062,4995000,3,3.0,WOODSIDE,2860,64904,1956,2,1747,,Active,April-8-2023 12:00 PM,April-8-2023 03:00 PM,https://www.redfin.com/CA/Woodside/710-Patrol-Rd-94062/home/2048913,MLSListings,ML81923735,N,Y,37.4326179,-122.2849032
MLS Listing,,Single Family Residential,1552 Silver Pond Ln,San Jose,CA,95138,2250000,5,4.0,SAN JOSE,3001,8712,2005,2,750,180,Active,April-8-2023 01:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1552-Silver-Pond-Ln-95138/home/1858431,MLSListings,ML81923011,N,Y,37.2884141,-121.800407
MLS Listing,,Single Family Residential,179 Recino St,Fremont,CA,94539,2499000,4,3.0,Mission Estates,2552,8352,1974,2,979,,Active,April-8-2023 01:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Fremont/179-Recino-St-94539/home/1091059,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41023446,N,Y,37.5533248,-121.942267
